country,province,postal code,city,latitude,longitude
BR,AC,69945-000,Acrelândia,-9.9805,-66.8439
BR,AC,69935-000,Assis Brasil,-10.8833,-70.0131
BR,AC,69932-000,Brasiléia,-10.7677,-69.0114
BR,AC,69923-000,Bujari,-9.5786,-68.172
BR,AC,69922-000,Capixaba,-10.4878,-67.8483
BR,AC,69980-000,Cruzeiro do Sul,-8.0159,-72.9298
BR,AC,69934-000,Epitaciolândia,-10.9354,-68.4441
BR,AC,69960-000,Feijó,-8.905,-70.9149
BR,AC,69975-000,Jordão,-9.0917,-71.8407
BR,AC,69990-000,Mâncio Lima,-7.5396,-73.4583
BR,AC,69950-000,Manoel Urbano,-9.4895,-70.0124
BR,AC,69983-000,Marechal Thaumaturgo,-9.1899,-72.5685
BR,AC,69928-000,Plácido de Castro,-10.2943,-67.2682
BR,AC,69982-000,Porto Walter,-8.5247,-72.8207
BR,AC,69900-000,Rio Branco,-10.0699,-68.1553
BR,AC,69985-000,Rodrigues Alves,-7.8529,-73.2361
BR,AC,69955-000,Santa Rosa do Purus,-9.4773,-70.3903
BR,AC,69925-000,Senador Guiomard,-9.9408,-67.3931
BR,AC,69940-000,Sena Madureira,-10.0357,-69.5497
BR,AC,69970-000,Tarauacá,-8.6552,-71.4234
BR,AC,69930-000,Xapuri,-10.5966,-68.6489
BR,AC,69921-000,Porto Acre,-9.6504,-67.7773
BR,AL,57490-000,Água Branca,-9.2699,-37.9192
BR,AL,57660-000,Anadia,-9.6749,-36.3379
BR,AL,57300-000,Arapiraca,-9.7438,-36.5931
BR,AL,57690-000,Atalaia,-9.5298,-36.0746
BR,AL,57925-000,Barra de Santo Antônio,-9.3975,-35.5654
BR,AL,57180-000,Barra de São Miguel,-9.8123,-35.9609
BR,AL,57420-000,Batalha,-9.7326,-37.0888
BR,AL,57630-000,Belém,-9.5442,-36.502
BR,AL,57435-000,Belo Monte,-9.8052,-37.1916
BR,AL,57680-000,Boca da Mata,-9.6465,-36.1413
BR,AL,57830-000,Branquinha,-9.2117,-36.0896
BR,AL,57570-000,Cacimbinhas,-9.449,-36.9047
BR,AL,57770-000,Cajueiro,-9.3763,-36.1577
BR,AL,57968-000,Campestre,-8.8939,-35.5324
BR,AL,57250-000,Campo Alegre,-9.7933,-36.2857
BR,AL,57350-000,Campo Grande,-9.95,-36.7559
BR,AL,57530-000,Canapi,-9.1733,-37.5199
BR,AL,57780-000,Capela,-9.3934,-36.1239
BR,AL,57535-000,Carneiros,-9.4647,-37.3556
BR,AL,57760-000,Chã Preta,-9.2292,-36.3305
BR,AL,57325-000,Coité do Nóia,-9.6262,-36.6004
BR,AL,57975-000,Colônia Leopoldina,-8.8921,-35.7423
BR,AL,57140-000,Coqueiro Seco,-9.6466,-35.8094
BR,AL,57230-000,Coruripe,-10.0745,-36.1996
BR,AL,57320-000,Craíbas,-9.6011,-36.8027
BR,AL,57480-000,Delmiro Gouveia,-9.4445,-38.0248
BR,AL,57560-000,Dois Riachos,-9.3582,-37.0657
BR,AL,57625-000,Estrela de Alagoas,-9.3986,-36.7622
BR,AL,57340-000,Feira Grande,-9.9247,-36.6695
BR,AL,57220-000,Feliz Deserto,-10.2908,-36.3537
BR,AL,57995-000,Flexeiras,-9.2006,-35.78
BR,AL,57360-000,Girau do Ponciano,-9.7838,-36.842
BR,AL,57890-000,Ibateguara,-8.8969,-35.9096
BR,AL,57620-000,Igaci,-9.58,-36.6742
BR,AL,57280-000,Igreja Nova,-10.1666,-36.6172
BR,AL,57545-000,Inhapi,-9.2773,-37.6362
BR,AL,57430-000,Jacaré dos Homens,-9.6728,-37.2228
BR,AL,57960-000,Jacuípe,-8.8772,-35.4588
BR,AL,57950-000,Japaratinga,-9.099,-35.2963
BR,AL,57425-000,Jaramataia,-9.6505,-36.9604
BR,AL,57980-000,Joaquim Gomes,-9.1035,-35.7374
BR,AL,57965-000,Jundiá,-8.9406,-35.4996
BR,AL,57270-000,Junqueiro,-9.8852,-36.4564
